Producto;cantidad ;Costo;
Jabón liquido Ariel x 4000;3;30727;
Jabón  liquido Ariel x 400;6;8128;
Jabón liquido Woolite x 300;6;2478;
Jabón liquido de coco x 300;6;3667;
Jabón liquido Fab x 300;6;2874;
Jabón liquido Velrosita x 300;6;3370;
Cloroz x 3800;6;12588;
Cloroz x 2000;12;6740;
Cloroz x 1000;18;3370;
Cloroz x 500;24;1090;
Limpido x 3800;3;10606;
Limpido x 1800;6;5650;
Limpido x 1000;24;3172;
Limpido x 500;24;991;
Blancox ropa color x 500;12;2280;
Blancox natural x 1000;24;2775;
Blancox ropa color x 1000;6;3172;
Blancox ropa color x 400;6;2181;
Blancox ropa blanca x 150;6;991;
Limpiador 1A x 500;7;2478;
Blanqueadror Indú x 1800;32;1982;
Blanqueadror Indú x 750;20;892;
Papel Familia Megarollo x 12 individual;3;19328;
Papel Familia Megarollo x 1;150;1685;
Papel Familia Extragrande x24;6;15859;
Papel Familia Extragrande x1;24;1487;
Papel Familia Acolchamas grande x12;6;14472;
Papel Familia Megarollo x 4;24;6839;
Papel Scoot x 2;12;3172;
Papel blanco x 12 ;6;11894;
Papel blanco x 4;6;3965;
Papel blanco x 2;72;1982;
Servilletas de cocina recorte ;6;1586;
Servilletas Familia x 450;6;3271;
Servilletas  Familia x 100;12;4262;
Servilletas de Cafeteria ;24;1883;
Sservilletas Acolchamas decoradas ;6;3370;
Servilletas Rosal x 200;6;4262;
Servilletas Blanco x 200;18;2478;
Servilletas Popular x200;48;2428;
Papel Suave x 12 ;6;21311;
Toallas Scoott Duramax ;6;7434;
Bombillos Led x 7w;6;7434;
Bombillos Led x 10w;6;7930;
Pañuelos de bolsillo ;30;793;
Frijol Cargamanto x 1000;24;7930;
Frijol Uribe x 1000;18;5947;
Frijol Balin x 1000;18;7930;
Nutrecan Croquetas x 500;40;2874;
Cachorros Super Dog x 800;36;2280;
Dogourmet x 500;12;2478;
Dogourmet x 1000;6;7533;
Dowchow x 475;6;3767;
Dowchow x 400;12;2676;
Dowchow razas pequeñas x 400;10;3866;
Dowchow cachorros x 1000;12;9615;
Dowchow cachorros x 4000;6;18436;
Alpiste x 500;50;1883;
Arveja Aburrá x 460;50;1388;
Lenteja Aburrá x 460;75;2280;
Garbanzo Aburrá  x 460;50;3271;
Mazamorra comarca x 500;25;1388;
Arroz Roa x 5L;40;6443;
Sal Refisal x 500;150;595;
Sal Refisal x 1000;200;1090;
Sal marina cristal x 800;4;8128;
Sal Doña Blanca x 500;36;446;
Sal Doña Blanca x 1000;36;892;
Recogedores ;6;2478;
Arroz Roa x Arroba;50;31718;
Arroz Roa x 1 ;25;1388;
Arroz Diana Premium ;50;1685;
Arroz Castellano ;10;2874;
Arroz Castellano Integral ;6;5650;
Escobas ;18;4758;
Escobillones ;6;3965;
Maiz común x 1000;100;1090;
Bolsas de papel pequeña ;6;991;
Bolsas de papel mediana ;6;1784;
Bolsas de papel grande ;6;2478;
ubetas de Huevo x30;36;8921;
Papa bulto x 50;6;59472;
Avena natural x 250;12;2181;
Avena Fitness x 250;12;2478;
Yogo Yogo x 150;24;991;
Regeneris ;12;1487;
Kumis Alpina ;12;1189;
Yogurth vaso ;36;1289;
Bon yurt ;24;1982;
Gelatina vaso ;24;1189;
Yogurth x 1000;24;3965;
Queso en lonchitas ;24;4956;
Leche saborizada ;10;991;
Salchichones ;15;4956;
Salchichas ;12;6938;
Jamones ;12;8425;
Mortadelas ;15;3965;
Chorizo de ternera ;12;7930;
Pechugas ;12;8425;
Muslos Bandeja ;12;6443;
Contramuslos bamdeja ;6;4956;
Bagre bandeja ;6;6443;
Gaseosa x 3l;24;5452;
Gaseosa x 1,5;60;2974;
Agua x 600;100;1189;
Agua x 20L;6;10903;
Agual x 5L ;6;3965;
Agua Saborizada ;12;2478;
Tampico x 1L;6;2478;
Tampico x garrafa ;6;4956;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
