Producto;cantidad ;Precio de venta;Costo
Emulsión de Scott x 360;15;14600;14472
Emulsión de Scott x 160;11;9200;9119
Milo x 1500;1;41000;40639
Milo x 500;4;15000;14868
Milo x 200 Nutrifit;6;7500;7434
Milo x 500 Nutrifit;2;16700;16553
Milo x 200;3;7800;7731
Milo x 400;2;15000;14868
Nestogeno x 400;2;24000;23789
Leche Benet x 400 ;2;29000;28745
Leche Hi-Calcium x 672;4;21800;21608
Leche Colanta Sligh x 400;5;8000;7930
Leche Colanta deslactosada x 400;22;9000;8921
Leche Colanta x 200;29;4300;4262
Leche Colanta x 400;97;7500;7434
Leche Colanta x 1000;25;11700;11597
Leche Nestogeno x 135;6;5800;5749
Tarrito Rojo x 415;11;12500;12390
Tarrito Rojo x 330;4;11700;11597
Tarrito Rojo x 135;17;5000;4956
Tarrito Rojo x 30;29;1000;991
Cereal Fitnes x 260 ;4;9700;9615
Granola Tosh x 300;9;7750;7682
Cereal Fitnes Integral x 300;4;12400;12291
Nestum x 200 ;8;7300;7236
Choco Krispies x 295;7;9600;9516
Zucaritas x 300;6;8000;7930
Froot Lops x 210;7;7000;6938
Kellogs x 30;34;900;892
Leche el Rodeo x 900;9;18500;18337
Leche el Rodeo sabor x 180;9;5000;4956
Leche el Rodeo x 475;30;8700;8623
Leche Montefrio x 380;20;6500;6443
Leche Proleche entera x 420 ;12;6900;6839
Leche Proleche descremada x 380;8;8800;8723
Leche Proleche deslactosada x 380;10;8000;7930
Leche San Gabriel x 380;15;3400;3370
Leche Alqueria x 330;9;7900;7830
Leche Alqueria x 730;1;17900;17742
Leche Klim x 360;45;9300;9218
Leche Klim Deslactosada x 360;7;11200;11101
Leche Klim 1+ x 360;7;13900;13778
Leche de Soya x 250;12;6000;5947
Leche de Soya con colágeno x 200;2;11200;11101
Proteína Toning x 250;7;7600;7533
Kelloys x 130;30;6000;5947
Kelloys x 105;30;3000;2974
Maggi x 8;27;2400;2379
Maggi x 12;16;3600;3568
Maggi x 60;5;16500;16355
Ricostilla x 8 ;47;2500;2478
Ricostilla x 12;26;3700;3667
Ricostilla x 48;2;12500;12390
Maggui Oferta desmenuzado x 126;2;3700;3667
Maggui Doble Gusto x 12 ;8;3800;3767
Maggui Doble Gusto x 8;10;2600;2577
Doña Gallina x 12 ;15;3500;3469
Doña Gallina x 8;12;2300;2280
Knork desmenuzado ;2;3200;3172
Knork x 8;13;2300;2280
Knork x 12;7;3400;3370
Gelatina Gelhadax 40;21;1100;1090
Gelatina Frutiño x 40;10;1100;1090
Gelatina Frutiño x 3;8;3000;2974
Gelatina Royal x 40;96;1100;1090
Gelagurth x 40;48;1350;1338
Gelatina Fruyi x 3 ;24;2400;2379
Gelatina Frutiño sin sabor ;75;1000;991
Gelatina Light;40;1650;1635
Color x 20;40;450;446
Color x 70;32;1300;1289
Triguizar x 20 ;24;500;496
Triguizar x 70;32;1600;1586
Sazonatodo x 200;6;3900;3866
Ligth yá x 10;23;1000;991
Cligth x 10;96;1100;1090
Nestea x 14;60;800;793
Suntea x 1.5;36;1000;991
Suntea x 4.5;15;6300;6245
Tang x 2;12;800;793
Tropicalyá x 6;9;8200;8128
Tropicalyá x 3;10;3200;3172
Boka ;48;600;595
Tang x 1;3;5200;5154
Frutiño x 18;120;700;694
Frutiño x 66;96;1650;1635
Frutiño x 100;168;3200;3172
Frutiño cremoso x 30;60;1000;991
Pulpifruta x 160;15;2000;1982
Panela Pulverizada x 600;104;3000;2974
Azúcar Morena Ligth x 500;3;4000;3965
Azúcar Morena Ligth x 1000;3;6800;6740
Azúcar Incauca Ligth x 500;3;4200;4163
Azúcar Incauca Ligth x 1000;3;6800;6740
Azúcar Morena Manuelita x 2.5;7;7000;6938
Azúcar Riopaila x 500;53;1500;1487
Azúcar Riopaila x 1000;14;2800;2775
Azúcar Manuelita Blanca x 2.5 ;4;6500;6443
Azúcar Providencia x 500;15;1500;1487
Azúcar Providencia x 1000;13;2800;2775
Azúcar Providencia x 2.5;3;6500;6443
Azúcar en Cubo x 1.8 ;16;6800;6740
Azúcar x 500;35;1200;1189
Azúcar x 100;63;2400;2379
Don Gustico x 18;30;450;446
Trifogón x 20;20;400;396
Aromatica x 18;42;3200;3172
Aromatica de Frutasx 156;22;5300;5253
Té Original x 40 ;11;4300;4262
Té Original x 19;8;2400;2379
Te Verde x 26;12;7000;6938
Te Sabores x 26;11;5000;4956
Aromatica de Panela x 48;24;4400;4361
Aromatica de Sabores x 25;17;3800;3767
Crema de Leche x 1 ;11;9000;8921
Crema de Leche Parmalat x 200 ;24;2300;2280
